법정동명,경상자수,발생시간,부상신고자수,사고건수,사망자수,중상자수,lat,lng
등촌동,558,7661,81,575,1,175,37.551325,126.858411
마곡동,442,5781,35,455,7,159,37.566092,126.830395
마장동,224,3362,20,269,5,88,37.567305,127.039084
마천동,218,3852,36,275,5,71,37.497117,127.152393
마포동,135,1330,13,110,1,37,37.537003,126.945323
만리동1가,4,89,1,9,0,5,37.556408,126.967319
만리동2가,24,518,1,33,0,12,37.553986,126.96415
망우동,658,9799,107,733,4,229,37.596678,127.100419
망원동,474,5697,49,433,3,113,37.55662,126.903976
면목동,1531,21798,248,1707,10,487,37.58442,127.086487
명동1가,12,286,3,18,0,3,37.564135,126.984148
명동2가,18,344,5,25,0,6,37.56288,126.984505
명륜1가,14,231,2,18,1,2,37.588347,126.997733
명륜2가,33,518,7,42,0,11,37.584521,126.998638
명륜3가,7,171,2,12,0,4,37.588359,126.994739
명륜4가,30,420,5,31,0,11,37.582225,127.000008
명일동,233,4042,26,285,3,114,37.549276,127.147555
목동,1570,20465,184,1575,9,356,37.539776,126.869079
묘동,8,222,4,14,0,3,37.572598,126.991715
무교동,6,131,1,9,0,3,37.567732,126.979171
무악동,12,117,2,9,0,2,37.575906,126.959334
무학동,16,217,2,18,0,9,37.564149,127.015091
묵동,383,6822,61,508,2,190,37.611266,127.077829
묵정동,13,241,0,19,0,7,37.561401,127.000871
문래동1가,129,1259,18,98,0,20,37.512364,126.897201
문래동2가,68,910,7,66,1,18,37.51329,126.893779
문래동3가,202,3046,37,229,3,61,37.516929,126.897249
문래동4가,33,446,3,32,0,5,37.515082,126.890475
문래동5가,105,1209,15,92,1,20,37.515863,126.885676
문래동6가,59,841,8,60,1,15,37.519342,126.886528
문배동,29,467,3,31,0,10,37.536423,126.969346
문정동,820,10822,123,843,3,230,37.486581,127.127495
미근동,71,1036,21,77,0,17,37.563162,126.967026
미아동,1565,20179,101,1595,7,490,37.621298,127.024902
반포동,1693,18372,171,1421,9,353,37.502816,127.010493
방배동,1185,14572,78,1171,9,335,37.484677,126.989955
방산동,10,161,0,12,0,8,37.568469,127.001903
방이동,867,12234,149,943,4,241,37.512017,127.116902
방학동,500,8482,93,611,2,207,37.666224,127.03665
방화동,461,7053,62,528,6,179,37.569138,126.812192
번동,776,9389,36,760,11,207,37.635123,127.032072
보광동,122,1918,14,142,1,45,37.528858,126.999766
보문동1가,43,510,8,49,0,11,37.586226,127.019779
보문동2가,45,724,5,48,0,15,37.585602,127.018306
보문동3가,11,97,1,9,0,3,37.584277,127.017551
보문동4가,15,208,0,17,0,4,37.582645,127.021437
보문동5가,14,279,2,18,0,7,37.582359,127.019936
보문동6가,17,242,1,16,0,5,37.580444,127.019694
보문동7가,30,501,1,36,1,8,37.580033,127.02182
본동,241,2853,42,216,1,52,37.511491,126.954336
봉래동1가,47,688,5,49,0,18,37.558687,126.972589
봉래동2가,115,1749,16,127,1,27,37.557841,126.97062
봉원동,6,42,2,6,0,1,37.569952,126.947063
봉익동,2,57,1,4,0,1,37.572398,126.992873
봉천동,1458,20493,150,1602,13,455,37.482717,126.949951
부암동,51,693,6,47,1,10,37.594148,126.964248
북가좌동,236,4171,61,321,2,108,37.580344,126.912261
북아현동,96,1726,16,126,0,35,37.561666,126.95617
북창동,16,183,5,17,0,5,37.5625,126.978056
불광동,372,5788,69,432,3,122,37.620465,126.927435
사간동,2,38,1,3,0,1,37.577668,126.980593
사근동,53,943,9,70,0,25,37.561371,127.046789
사당동,603,9189,90,717,4,226,37.483974,126.974999
사직동,48,462,6,37,1,6,37.573711,126.966295
산림동,2,51,1,4,1,0,37.567564,126.996085
산천동,7,93,0,7,0,0,37.535428,126.952396
삼각동,2,44,1,3,0,1,37.567588,126.983748
삼선동1가,49,708,9,51,1,12,37.585059,127.007942
삼선동2가,29,493,2,35,0,10,37.585259,127.010538
삼선동3가,24,479,4,31,0,5,37.586298,127.012802
